comments,risk,conditions,habitat,simulation,empirical,ps_model,other_model,review,link,DL,PY,AU,SO...14,SO...15,DOI
,,,,,,n,,,,,2021,"Buñuel, X., Alcoverro, T., Romero, J., Arthur, R., Ruiz, J.M., Pérez, M., Ontoria, Y., Raventós, N., Macpherson, E., Torrado, H., Pagès, J.F.",Marine Environmental Research,Warming Intensifies The Interaction Between The Temperate Seagrass Posidonia Oceanica And Its Dominant Fish Herbivore Sarpa Salpa,10.1016/j.marenvres.2020.105237
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.nonrwa.2020.103189,http://dx.doi.org/10.1016/j.nonrwa.2020.103189,2021,"Cao, XR; Tao, YS",Nonlinear Analysis-Real World Applications,Boundedness And Stabilization Enforced By Mild Saturation Of Taxis In A Producer-Scrounger Model,10.1016/j.nonrwa.2020.103189
humans,,,,,,n,,,,http://dx.doi.org/10.1098/rspb.2021.1414,2021,"Hertz, U; Bell, V; Raihani, N",Proceedings Of The Royal Society B-Biological Sciences,Trusting And Learning From Others: Immediate And Long-Term Effects Of Learning From Observation And Advice,10.1098/rspb.2021.1414
finder's share,,,,,black-tufted marmosets,,,,,http://dx.doi.org/10.1016/j.anbehav.2021.11.003,2022,"Sacramento, TS; Bicca-Marques, JC",Animal Behaviour,Scrounging Marmosets Eat More When The Finder'S Share Is Low Without Changing Their Searching Effort,10.1016/j.anbehav.2021.11.003
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.asoc.2022.109777,http://dx.doi.org/10.1016/j.asoc.2022.109777,2022,"Hong, JL; Shen, B; Xue, JK; Pan, AQ",Applied Soft Computing,A Vector-Encirclement-Model-Based Sparrow Search Algorithm For Engineering Optimization And Numerical Optimization Problems,10.1016/j.asoc.2022.109777
,,,,,,n,,,,,2022,"Wang, Z., Huang, X., Zhu, D.",Computational Intelligence And Neuroscience,A Multistrategy-Integrated Learning Sparrow Search Algorithm And Optimization Of Engineering Problems,10.1155/2022/2475460
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.3389/fphy.2022.912606,http://dx.doi.org/10.3389/fphy.2022.912606,2022,"Xiong, Q; Shen, J; Tong, B; Xiong, Y",Frontiers In Physics,Parameter Identification For Memristive Chaotic System Using Modified Sparrow Search Algorithm,10.3389/fphy.2022.912606
,,,,,,n,,,,,2022,"Laranjeira, C., Pereira, F., Querido, A., Bieri, M., Verloo, H.",International Journal Of Environmental Research And Public Health,Contributing Factors Of Presenteeism Among Portuguese And Swiss Nurses: A Qualitative Study Using Focus Groups,10.3390/ijerph19148844
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1155/2022/8799429,http://dx.doi.org/10.1155/2022/8799429,2022,"Chen, G; Zhu, DL; Wang, X; Zhou, CJ; Chen, XY",Journal Of Function Spaces,Prediction Of Concrete Compressive Strength Based On The Bp Neural Network Optimized By Random Forest And Issa,10.1155/2022/8799429
"Levy walks, learning",,,,y,,,,,https://smaldino.com/wp/wp-content/uploads/2022/05/GargEtAl2022-Individual-exploration-and-selective-sociallearning.pdf,http://dx.doi.org/10.1098/rsif.2021.0915,2022,"Garg, K; Kello, CT; Smaldino, PE",Journal Of The Royal Society Interface,Individual Exploration And Selective Social Learning: Balancing Exploration-Exploitation Trade-Offs In Collective Foraging,10.1098/rsif.2021.0915
,,,,,,n,,,,http://dx.doi.org/10.1016/j.optlastec.2022.108529,2022,"Duan, MG; Yang, ZG; Zhao, Y; Fang, LJ; Zuo, HY; Li, ZS; Wang, DQ",Optics And Laser Technology,Wavefront Shaping Using Improved Sparrow Search Algorithm To Control The Scattering Light Field,10.1016/j.optlastec.2022.108529
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1098/rstb.2021.0136,http://dx.doi.org/10.1098/rstb.2021.0136,2022,"Mullon, C; Lehmann, L",Philosophical Transactions Of The Royal Society B-Biological Sciences,Evolution Of Warfare By Resource Raiding Favours Polymorphism In Belligerence And Bravery,10.1098/rstb.2021.0136
,,,,,,n,,,,,2022,"Yan, Z., Luo, W., Yu, L., Zhang, D., Wang, B., Li, Q.","Proceedings - 2022 37Th Youth Academic Annual Conference Of Chinese Association Of Automation, Yac 2022",A Mobile Robot Path Planning Based On Modified Sparrow Search Algorithm,10.1109/YAC57282.2022.10023547
,,,,,,n,,,,,2022,"Wang, H., Qiu, S., Mi, H., Li, A.",Proceedings Of Spie - The International Society For Optical Engineering,Improved Sparrow Search Algorithm Combining Adaptive Mutation And Proportion Adjustment Strategy,10.1117/12.2636425
learning,,,,y,,,,,https://royalsocietypublishing.org/doi/epdf/10.1098/rspb.2022.0954,http://dx.doi.org/10.1098/rspb.2022.0954,2022,"Leimar, O; Dall, SRX; Houston, AI; McNamara, JM",Proceedings Of The Royal Society B-Biological Sciences,Behavioural Specialization And Learning In Social Networks,10.1098/rspb.2022.0954
,,,,,,n,,,,,2023,"Xue, Z., Yu, J., Zhao, A., Zong, Y., Yang, S., Wang, M.",Journal Of Building Engineering,Optimal Chiller Loading By Improved Sparrow Search Algorithm For Saving Energy Consumption,10.1016/j.jobe.2023.105980
